# 3d shockbubble, max1d=32  voyager1 results, choose  best of 2 results for stepgrid, take that total
# no resize, no valout, no CFL WARNING 
# using KMP_AFFINITY compact
# num. cpu    stepgrid wall   total wall  Regridding  ghost cells
1   1419.172     1468.021     15.789    25.731
2    733.666      768.023     16.101    13.733  
3    504.599      534.130     16.390     9.482   
4    379.542      406.349     16.437     7.177   
5    310.106      335.310     16.410     5.850       
7    227.812      251.214     16.420     4.288   
8    198.290     221.150      16.463     3.814  
9    181.391     203.913      16.460     3.512
15   114.640     136.310      16.483     2.662   
16   103.104     124.921      16.625     2.623 
17    98.500     120.257      16.551     2.614 
20    87.089     108.698      16.476     2.503
22    79.666     101.318      16.526     2.477  
24    75.957      97.598      16.524     2.452 
28    88.227     121.693      25.009     5.179
31    99.630     133.038      24.879     5.152
32   105.368     139.485      25.656     5.092
33   106.983     141.416      25.679     5.488
39   140.28      175.415      26.098     5.438
40   139.807     175.091      26.224     5.510   
